INFO - Client a into the chat!
ERROR - Client a out the chat!
INFO - Client a into the chat!
INFO - Client a out the chat!
INFO - Client test1 into the chat!
INFO - Client test1 out the chat!
INFO - Client 11 into the chat! 2018-10-24T22:26:49.201
INFO - Client 11 out the chat! 2018-10-24T22:26:52.992
INFO - Client 11 into the chat! 2018-10-24T22:30:21.648
INFO - Client 11 out the chat! 2018-10-24T22:30:24.439
INFO - Client 11 into the chat! 2018-10-24T22:30:41.985
INFO - Client 11 out the chat! 2018-10-24T22:30:48.692
INFO - Client 11 into the chat! 2018-10-24T22:31:23.351
INFO - Client 11 out the chat! 2018-10-24T22:31:27.355
INFO - Client 11 into the chat! 2018-10-24T22:41:16.551
INFO - Client 11 out the chat! 2018-10-24T22:41:26.957
